id,position_id,date,url,source_en,source_de,quote_en,quote_de
AMCEN2019,2,2019-11-15,https://wedocs.unep.org/bitstream/handle/20.500.11822/30786/AMCEN_17L1.pdf?sequence=1&isAllowed=y,African Ministerial Congress on the Environment (AMCEN). Durban Declaration on taking action for environmental sustainability and prosperity in Africa,,"We[, African ministers for the environment,] commit ourselves to supporting global action to address plastic pollution, which will require further work in order to engage more effectively on global governance matters relating to plastic pollution, including reinforcing existing agreements and the option of a new global agreement on plastic pollution that takes a comprehensive approach to addressing the full life cycle of plastics, from production and design to waste prevention and management, while ensuring coherence among and coordination of activities undertaken by existing regional and international instruments and taking into consideration national circumstances while highlighting the importance of technology transfer, research on alternatives to plastic and adequate financing to enable African countries to deal with plastic pollution. ",
EUCCOS2019,2,2019-11-19,https://www.consilium.europa.eu/media/41384/st14249-en19.pdf,EU Council Conclusions on Oceans and Seas,,"The Council of the European Union, [...] 45. STRESSES the importance of stepping up global actions for preventing the leakage of plastic litter and other harmful substances into the environment, and in particular the oceans, including through the consideration of an international agreement to address plastic pollution, in particular marine plastics pollution.",
SCE2020,2,2020-02-22,https://inbministry.blogspot.com/2020/02/india-and-norway-to-work-jointly.html?m=1&fbclid=IwAR2BbTobmt2CkT-5xncR1DBgSJciiKxM4jQmviJ0G_jcMPhcmQKflXERHDw,India – Norway Joint Statement on Climate and Environment,,The Ministers emphasized a shared understanding of the global and urgent nature of marine plastic litter and microplastics and underlined that this issue cannot be solved by any one country alone. They are committed to supporting global action to address plastic pollution and exploring the feasibility of establishing a new global agreement on plastic pollution.,
UNEA2019,1,2019-03-15,https://youtu.be/VveH4cLnh6w?list=UU9V3x9HelwEk3Z6EknB_1Cg&t=3955,"National Statement at the Fourth Session of United Nations Environment Assembly 2019, by Dr. Mehmet Emin Birpinar, Vice-Minister Of Environment And Urbanization",,"Unfortunately, existing programmes and measures are not sufficient to efficiently reduce marine litter and microplastics. Thats why we strongly urge the UN to formulate a new solution-oriented and sound international agreement on this issue. I would like to state that Turkey is ready to provide the utmost support for such an initiative.",
NORDIC2019,1,2019-04-10,https://www.norden.org/en/declaration/nordic-ministerial-declaration-call-global-agreement-combat-marine-plastic-litter-and,Nordic Ministerial Declaration,,"We, the Nordic Ministers of Environment and Climate: [...] 8. Call for the development of a global agreement to more effectively and comprehensively deal with the issue of marine plastic litter and microplastics on a global level in an integrated manner. ",
MAP2018,1,2018,https://www.sprep.org/sites/default/files/documents/publications/MAP-Digital-small.pdf,Pacific Regional Action Plan on Marine Litter endorsed by heads of state at the Pacific Islands Forum 2019,,Pacific Regional Marine Litter Action Plan – Implementation Activities: 1. Building a Policy and Regulatory Framework: 1.1 Support the development of a global legal framework to address marine litter and microplastics.,
CARICOM2019,1,2019-07-05,https://today.caricom.org/2019/07/06/communique-issued-at-the-conclusion-of-the-fortieth-regular-meeting-of-the-conference-of-heads-of-government-of-the-caribbean-community-gros-islet-saint-lucia-3-5-july-2019/,"St. John's declaration adopted by the The Fortieth Regular Meeting of the Conference of Heads of Government of the Caribbean Community (CARICOM), July 2019",,"Heads of Government: [...] 14. Underscore the urgent need for a global agreement to address plastics and microplastic pollution and in this regard recall resolution 3/7 of the United Nations Environment Assembly, held in Kenya in March 2019 and the long-term ambition to eliminate discharges of litter and microplastics to the oceans.",
GOF2020,2,2020-06-08,https://www.norway.no/en/missions/UN/news/news-from-norwayun/CombatMarinePlastic/#Objectives,Founding member of Group of Friends to Combat Marine Plastic Pollution,,"Some specific objectives [of the Group of Friends] include: [...] 3. To support the process to explore global response options, including a new global agreement.",
GOF2020a,1,2020-06-08,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Ministerial statement at the launch of the Group of Friends to Combat Marine Plastic Pollution,,We need to set the direction for a new global framework to fight marine plastic pollution.,
GOF2020b,1,2020-06-08,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,Binding global commitments and matching resources and actions at every level is urgently required.,
GOF2020c,1,2020-06-08,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,"We need to close current gaps in our international response. A binding international agreement on plastic waste would, in Germany’s view, help in addressing this.",
GOF2020d,1,2020-06-08,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,"The Philippines continues to espouse the commencement of a negotiation of a new treaty to combat marine plastic pollution, consistent with our position at UNEA4. We support the adoption of a negotiations mandate at UNEA 5 in 2021. This binding agreement must commit governments to address marine plastic pollution.",
GOF2020e,1,2020-06-08,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,It is now imperative for the global body [UN] as a whole to adopt binding obligations to combat the abhorrent practice of marine plastic pollution.,
HELCOM2020,1,2020-09-28,https://ec.europa.eu/info/sites/info/files/ministerial_declaration_our_baltic_conference.pdf,"Ministerial Declaration, 'Our Baltic' Conference",,"We[,Ministers of Environment, Maritime Economy, Agriculture and Fisheries of Baltic Sea Member States and of the Commissioner for ‘Environment, Oceans and Fisheries’,] COMMIT to promote and actively work for a global agreement to reduce and prevent plastic marine litter and micro plastics",
CBD2020,1,2020-09-30,https://youtu.be/5WoQ0JjMzP8?t=38191,"Pre-recorded statement by Ms Jeanne d'Arc Mujawamariya, Environment Minister",,"Rwanda is committed to stop plastic pollution, but believes that this requires a global solution. We therefore support the establishment of a new global agreement to combat plastic pollution.",
EUCCOS2020,1,2020-10-23,https://www.consilium.europa.eu/en/press/press-releases/2020/10/23/council-adopts-conclusions-on-the-eu-biodiversity-strategy-for-2030/,EU Council Conclusions on Biodiversity,,"The Council of the European Union, [...] 47. COMMITS to work towards a global agreement to reduce plastic marine litter;",
PERU2020,1,2020-10-19,https://vimeo.com/showcase/7703517/video/472129797#t=2910s,"Statement by Environment Minister of Peru, Kirla Echegaray, at the launch of the Nordic Report on possible elements of a new treaty, 19 Oct 2020",,"As environment minister of the Republic of Peru, I want to begin this speech by confirming the commitment of my country to promote a comprehensive management of plastic waste with a circular economy approach, as well as to promote a global agreement on this issue.",
UK2020,1,2020-11-18,https://twitter.com/JulianWTO_UN/status/1329086584738652169,"Statement by Environment Minister of the United Kingdom, Zac Goldsmith, at a WTO event on trade and the enviroment, 18 Nov 2020",,"We believe it is time to start negotiating a new global agreement to coordinate action on marine plastic litter and microplastic litter, one that goes far beyond the existing framework.",
SEAOS2020,1,2020-11-29,https://youtu.be/i77jHQaaqt4?t=910,"Statement by Deputy Minisiter of Environment, Le Minh Ngan, at High-level panel session at SEA of Solutions 2020, 29 Nov 2020",,Vietnam affirms its support and willingness to participate in the formulation of a global agreement on marine plastic waste.,
WCEF2020,1,2020-11-24,https://www.youtube.com/watch?v=rGV3aOAXNBQ&feature=youtu.be&t=1011,"Statement by Special Assistant to the Minister of Environment, Oliver Boachie, WCEFonline Panel Discussion, GPAP Ghana circular economy event, 24 Nov 2020",,The NPAP platform has provided us a unique opportunity for Ghana to showcase what we are doing in the country to support the global effort to confront the menace of plastics in a sustainable way. We intend to use this platform to lend Ghana’s support for a Global Agreement to end plastic waste.,
UNEA5.1-RUS,1,2021-02-22,https://youtu.be/Mh53ESMwscM?t=7540,"Statement by H.E. Mr. Dmitry Maksimychev, Ambassador of the Russian Federation to the Republic of Kenya and Permanent Representative to International Organizations in Nairobi",,We welcome the outcome of the work of the Expert group on pollution of the marine environment by micro plastic and support its recommendation of launching an intergovermental negotiation  prosess to elaborate a new international agreement in this field.,
UNEA5.1-GER,1,2021-02-23,https://youtu.be/q-O6jLDaapI?t=8735,"Statement by H.E. Mrs Annett Günther, Ambassador of the Federal Republic of Germany to Kenya, Adjournment Plenary, UNEA 5.1, 23 Feb 2021",,"In this context, Ghana, Ecuador and Germany decided to join forces to keep the topic of marine litter and plastic pollution high on the political agenda towards UNEA 5.2. It is our strong belief that several countries from all regions of the world are ready to do the next decisive step towards a new global agreement. Ghana, Ecuador and Germany want to foster this process by hosting a dedicated international ministerial conference on marine litter and plastic pollution towards the end of the third quarter of this year.",
OAfS-2021,1,2021-02-17,https://youtu.be/VU1hoCHhP-k?t=3782,"Statement by Chris Kiptoo, Principal Secretary, Ministry of Environment and Forestry, Kenya, at Ocean Action for Sustainability high-level event, 17 February 2021",,"Smuggling of [plastic] bags from neighbouring countries has been a challenge. This increases cost of enforcement, and could better be addressed by all countries committing to implement a global agreement on plastics, including adoption of common standards.",
AUS2021,1,2021-03-04,http://www.environment.gov.au/protection/waste/publications/national-plastics-plan,"National Plastics Plan 2021, Department of Agriculture, Water and the Environment, 2021",,Australia will pursue improved coordinated global action to address marine plastic pollution including through discussions towards a new global agreement at the United Nations Environment Assembly.,
BMK2020,1,2020-02-14,https://www.informea.org/sites/default/files/imported-documents/Report%20English%20K2000527.pdf,"Decision 3/8, para. 6 of the third meeting of the Conference of the Parties to the Bamako Convention",,"The Conference of the Parties [...] decides [...] 6. To call for a new legally binding global agreement to combat plastic pollution, covering the full life cycle of plastics, with a view to reducing both the quantity and the harmful qualities of plastic wastes, highlighting the elimination of the trade, production and use of single-use plastics and the substitution and re-design of such products, while emphasizing the importance of technology research and transfer, and the need for adequate financing to enable African countries to prevent plastic pollution",
G7CEM-2021,2,2021-05-21,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/988551/g7-climate-environment-communique.pdf,"G7 Climate and Environment Ministers' Meeting Communiqué, para. 72",,"Recognising the scale, urgency and transboundary nature of the global action needed to tackle marine plastic litter and microplastics, including by considering a life-cycle approach, we welcome the work of the ad hoc open-ended expert group (AHEG) established by UNEA resolution 3/7 and extended by UNEA resolution 4/6 towards UNEA 5.2, and will fully engage in discussions or negotiations on the options identified, with the aim of taking a step forward on that occasion on suggested options which include strengthening existing instruments, a potential new global instrument, and multi-stakeholder engagement.",
G7CECAN21,1,2021-05-21,https://www.canada.ca/en/environment-climate-change/news/2021/05/minister-of-environment-and-climate-change-and-minister-of-natural-resources-participate-in-g7-climate-and-environment-ministers-meeting.html,Press Release on Canada's Participation in G7 Climate and Environment Ministers’ Meeting 2021,,Canada [...] emphasized that more partnerships and investments are needed to address marine plastic litter. This is why Canada is participating in the important work under way through the United Nations Environment Assembly and is supportive of beginning negotiations towards a new global agreement on plastics.,
ODPPD21,1,2021-06-01,http://plasticdeclaration.aosis.org/,"Ocean Day Plastic Pollution Declaration presented at the UN High-Level Debate on the Ocean, June 1st, 2021",,"We [representatives of States endorsing the Declaration] commit to work for a decision at UNEA5.2 to establish an Intergovernmental Negotiating Committee recommending starting negotiations of a global legally binding agreement to combat plastic pollution, with the aim of concluding this as soon as possible.",
NZMOE21,2,2021-06-27,https://www.beehive.govt.nz/release/government-takes-action-problem-plastics,Press Release by the office of the Environment Minister Hon David Parker,,"Minister Parker said addressing the plastics problem also requires action across borders. [...] “We want to be part of global solutions to tackle the impacts of plastic pollution. New Zealand supports coordinated global action through discussions towards a new global agreement at the United Nations Environment Assembly in 2022,” David Parker said.",
G20EM21,1,2021-07-22,http://www.env.go.jp/en/focus/statement_by_koizumi_shinjiro_minister_of_the_environment_japan_at_g20_environment_ministers_meeting.html,"Statement by KOIZUMI Shinjiro, Minister of the Environment, Japan, at G20 Environment Ministers' Meeting (July 22, 2021)",,"And as initiatives for the future, Japan shifts the position from neutral to support for the establishment of an Intergovernmental Negotiating Committee (INC) to discuss a new global instrument at UNEA5.2 planned in February next year. The Committee should include as wide participation as possible.",
